Key,,,National Champion,Fired/Resigned,Hired Up,Retired,Interim,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS Team,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
UTSA,Jeff Traylor,Jeff Traylor,Jeff Traylor,Jeff Traylor,Jeff Traylor,Frank Wilson,Frank Wilson,Frank Wilson,Frank Wilson,Larry Coker,Larry Coker,Larry Coker,Larry Coker,Larry Coker,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team
Vanderbilt,Clark Lea,Clark Lea,Clark Lea,Clark Lea,Derek Mason,Derek Mason,Derek Mason,Derek Mason,Derek Mason,Derek Mason,Derek Mason,James Franklin,James Franklin,James Franklin,Robbie Caldwell,Bobby Johnson,Bobby Johnson,Bobby Johnson,Bobby Johnson,Bobby Johnson,Bobby Johnson,Bobby Johnson,Bobby Johnson,Woody Widenhofer,Woody Widenhofer,Woody Widenhofer,Woody Widenhofer,Woody Widenhofer,Rod Dowhower,Rod Dowhower,Gerry DiNardo,Gerry DiNardo,Gerry DiNardo,Gerry DiNardo,Watson Brown,Watson Brown,Watson Brown,Watson Brown
Virginia,Tony Elliott,Tony Elliott,Tony Elliott,Bronco Mendenhall,Bronco Mendenhall,Bronco Mendenhall,Bronco Mendenhall,Bronco Mendenhall,Bronco Mendenhall,Mike London,Mike London,Mike London,Mike London,Mike London,Mike London,Al Groh,Al Groh,Al Groh,Al Groh,Al Groh,Al Groh,Al Groh,Al Groh,Al Groh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh,George Welsh
Virginia Tech,Brent Pry,Brent Pry,Brent Pry,Justin Fuente,Justin Fuente,Justin Fuente,Justin Fuente,Justin Fuente,Justin Fuente,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer,Frank Beamer
Wake Forest,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Dave Clawson,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Caldwell,Jim Caldwell,Jim Caldwell,Jim Caldwell,Jim Caldwell,Jim Caldwell,Jim Caldwell,Jim Caldwell,Bill Dooley,Bill Dooley,Bill Dooley,Bill Dooley,Bill Dooley,Bill Dooley
Washington,Jedd Fisch,Kalen DeBoer,Kalen DeBoer,Jimmy Lake,Jimmy Lake,Chris Petersen,Chris Petersen,Chris Petersen,Chris Petersen,Chris Petersen,Chris Petersen,Steve Sarkisian,Steve Sarkisian,Steve Sarkisian,Steve Sarkisian,Steve Sarkisian,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Keith Gilbertson,Keith Gilbertson,Rick Neuheisel,Rick Neuheisel,Rick Neuheisel,Rick Neuheisel,Jim Lambright,Jim Lambright,Jim Lambright,Jim Lambright,Jim Lambright,Jim Lambright,Don James,Don James,Don James,Don James,Don James,Don James
Washington State,Jake Dickert,Jake Dickert,Jake Dickert,Nick Rolovich,Nick Rolovich,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Paul Wulff,Paul Wulff,Paul Wulff,Paul Wulff,Bill Doba,Bill Doba,Bill Doba,Bill Doba,Bill Doba,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Dennis Erickson,Dennis Erickson
West Virginia,Neal Brown,Neal Brown,Neal Brown,Neal Brown,Neal Brown,Neal Brown,Dana Holgorsen,Dana Holgorsen,Dana Holgorsen,Dana Holgorsen,Dana Holgorsen,Dana Holgorsen,Dana Holgorsen,Dana Holgorsen,Bill Stewart,Bill Stewart,Bill Stewart,Rich Rodriguez,Rich Rodriguez,Rich Rodriguez,Rich Rodriguez,Rich Rodriguez,Rich Rodriguez,Rich Rodriguez,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen,Don Nehlen
Western Kentucky,Tyson Helton,Tyson Helton,Tyson Helton,Tyson Helton,Tyson Helton,Tyson Helton,Mike Sanford Jr,Mike Sanford Jr,Jeff Brohm,Jeff Brohm,Jeff Brohm,Bobby Petrino,Willie Taggart,Willie Taggart,Willie Taggart,David Elson,David Elson,David Elson,David Elson,David Elson,David Elson,David Elson,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Jack Harbaugh,Dave Roberts,Dave Roberts
Western Michigan,Lance Taylor,Lance Taylor,Tim Lester,Tim Lester,Tim Lester,Tim Lester,Tim Lester,Tim Lester,P. J. Fleck,P. J. Fleck,P. J. Fleck,P. J. Fleck,Bill Cubit,Bill Cubit,Bill Cubit,Bill Cubit,Bill Cubit,Bill Cubit,Bill Cubit,Bill Cubit,Gary Darnell,Gary Darnell,Gary Darnell,Gary Darnell,Gary Darnell,Gary Darnell,Gary Darnell,Gary Darnell,Al Molde,Al Molde,Al Molde,Al Molde,Al Molde,Al Molde,Al Molde,Al Molde,Al Molde,Al Molde
Wisconsin,Luke Fickell,Luke Fickell,Paul Chryst,Paul Chryst,Paul Chryst,Paul Chryst,Paul Chryst,Paul Chryst,Paul Chryst,Paul Chryst,Gary Andersen,Gary Andersen,Bret Bielema,Bret Bielema,Bret Bielema,Bret Bielema,Bret Bielema,Bret Bielema,Bret Bielema,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Barry Alvarez,Don Morton,Don Morton,Don Morton
Wyoming,Jay Sawvel,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Craig Bohl,Dave Christensen,Dave Christensen,Dave Christensen,Dave Christensen,Dave Christensen,Joe Glenn,Joe Glenn,Joe Glenn,Joe Glenn,Joe Glenn,Joe Glenn,Vic Koenning,Vic Koenning,Vic Koenning,Dana Dimel,Dana Dimel,Dana Dimel,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Paul Roach,Paul Roach,Paul Roach,Paul Roach
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacancies,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coaching changes,,26,25,29,18,24,27,21,24,29,18,20,32,30,26,24,22,19,25,12,23,15,20,15,25,14,21,15,26,11,23,17,17,19,18,25,20,11
FBS Teams,134,133,131,130,130,130,130,130,129,129,130,130,130,130,128,128,126,125,125,125,125,125,124,123,122,122,122,122,121,121,121,121,121,121,120,120,119,119
Turnover %,,19.5%,19.1%,22.3%,13.8%,18.5%,20.8%,16.2%,18.6%,22.5%,13.8%,15.4%,24.6%,23.1%,20.3%,18.8%,17.5%,15.2%,20.0%,9.6%,18.4%,12.0%,16.1%,12.2%,20.5%,11.5%,17.2%,12.3%,21.5%,9.1%,19.0%,14.0%,14.0%,15.7%,15.0%,20.8%,16.8%,9.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alabama,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Appalachian State,,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arizona,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona State,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Arkansas,,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
Arkansas State,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
Army,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Auburn,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Ball State,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baylor,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Boise State,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
Boston College,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Bowling Green,,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Buffalo,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
BYU,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
California,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Central Florida,,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Central Michigan,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Charlotte,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Clemson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Coastal Carolina,,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Colorado State,,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Connecticut,,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Duke,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
East Carolina,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern Michigan,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Florida,,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Florida Atlantic,,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida International,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida State,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno State,,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Georgia,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Georgia Southern,,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Georgia State,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia Tech,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Hawaii,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Houston,,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Illinois,,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Indiana,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Iowa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Iowa State,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jacksonville State,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Madison,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Kansas State,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kennesaw State,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent State,,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
Kentucky,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Liberty,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Louisiana,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Louisiana Tech,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Louisiana Monroe,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Louisville,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
LSU,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Marshall,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Maryland,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Massachusetts,,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Memphis,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Miami FL,,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Miami OH,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Michigan,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Michigan State,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Middle Tennessee,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Minnesota,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Mississippi State,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Missouri,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Navy,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Nebraska,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nevada,,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
New Mexico,,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
New Mexico State,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
North Carolina,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
North Carolina State,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
North Texas,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Northern Illinois,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Northwestern,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Notre Dame,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ohio,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Ohio State,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Oklahoma,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
Oklahoma State,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Old Dominion,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ole Miss,,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Oregon,,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oregon State,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
